,Effort,Strategy,Threshold,Listening_prob,AUCResult,AUCLow,AUCUpp,type,intervention cost,datacost,totalcost,costbenefit,mincost,maxcost
1691,2,Betweenness  Cluster,1,0.2,56.16917808,53.49315068,60.1369863,Cluster,52,5160,5212,0.010776895,0.010263459,0.011538178
1692,2,Betweenness  Cluster,1,0.4,73.78150685,72.26027397,76.73972603,Cluster,52,5160,5212,0.014156083,0.013864212,0.014723662
1693,2,Betweenness  Cluster,1,0.6,77.91232877,77.32876712,78.57534247,Cluster,52,5160,5212,0.014948643,0.014836678,0.015075852
1694,2,Betweenness  Cluster,1,0.8,78.88561644,78.34246575,79.19178082,Cluster,52,5160,5212,0.015135383,0.015031171,0.015194125
1695,2,Betweenness  Cluster,1,1,79.45205479,79.45205479,79.45205479,Cluster,52,5160,5212,0.015244063,0.015244063,0.015244063
1696,2,Betweenness  Cluster,3,0.2,0.765068493,0.602739726,0.821917808,Cluster,52,5160,5212,0.00014679,0.000115645,0.000157697
1697,2,Betweenness  Cluster,3,0.4,0.802739726,0.753424658,0.821917808,Cluster,52,5160,5212,0.000154018,0.000144556,0.000157697
1698,2,Betweenness  Cluster,3,0.6,0.81369863,0.794520548,0.821917808,Cluster,52,5160,5212,0.00015612,0.000152441,0.000157697
1699,2,Betweenness  Cluster,3,0.8,0.816438356,0.794520548,0.821917808,Cluster,52,5160,5212,0.000156646,0.000152441,0.000157697
1700,2,Betweenness  Cluster,3,1,0.821917808,0.821917808,0.821917808,Cluster,52,5160,5212,0.000157697,0.000157697,0.000157697
1731,10,Betweenness  Cluster,1,0.2,76.44315068,73.57534247,78.46575342,Cluster,146,5160,5306,0.014406926,0.013866442,0.014788118
1732,10,Betweenness  Cluster,1,0.4,85.21164384,84.12328767,86.06849315,Cluster,146,5160,5306,0.016059488,0.01585437,0.016220975
1733,10,Betweenness  Cluster,1,0.6,87.20890411,87.01369863,87.45205479,Cluster,146,5160,5306,0.016435904,0.016399114,0.016481729
1734,10,Betweenness  Cluster,1,0.8,87.6630137,87.42465753,87.89041096,Cluster,146,5160,5306,0.016521488,0.016476566,0.016564344
1735,10,Betweenness  Cluster,1,1,87.98630137,87.98630137,87.98630137,Cluster,146,5160,5306,0.016582416,0.016582416,0.016582416
1736,10,Betweenness  Cluster,3,0.2,7.339041096,5.479452055,9.369863014,Cluster,146,5160,5306,0.001383159,0.00103269,0.0017659
1737,10,Betweenness  Cluster,3,0.4,12.0890411,9.328767123,14.78082192,Cluster,146,5160,5306,0.002278372,0.001758154,0.002785681
1738,10,Betweenness  Cluster,3,0.6,14.61643836,12.64383562,15.71232877,Cluster,146,5160,5306,0.0027547,0.002382932,0.002961238
1739,10,Betweenness  Cluster,3,0.8,15.76780822,14.78082192,16.26027397,Cluster,146,5160,5306,0.002971694,0.002785681,0.003064507
1740,10,Betweenness  Cluster,3,1,16.39726027,16.39726027,16.39726027,Cluster,146,5160,5306,0.003090324,0.003090324,0.003090324
1771,20,Betweenness  Cluster,1,0.2,79.19383562,76.1369863,81.91780822,Cluster,348,5160,5508,0.014377966,0.013822982,0.014872514
1772,20,Betweenness  Cluster,1,0.4,87.24452055,86.47945205,87.69863014,Cluster,348,5160,5508,0.015839601,0.015700699,0.015922046
1773,20,Betweenness  Cluster,1,0.6,89.05136986,88.78082192,89.24657534,Cluster,348,5160,5508,0.016167642,0.016118522,0.016203082
1774,20,Betweenness  Cluster,1,0.8,89.42671233,89.28767123,89.53424658,Cluster,348,5160,5508,0.016235787,0.016210543,0.01625531
1775,20,Betweenness  Cluster,1,1,89.68493151,89.68493151,89.68493151,Cluster,348,5160,5508,0.016282667,0.016282667,0.016282667
1776,20,Betweenness  Cluster,3,0.2,11.61027397,9.356164384,13.76712329,Cluster,348,5160,5508,0.002107893,0.00169865,0.002499478
1777,20,Betweenness  Cluster,3,0.4,14.64794521,12.39726027,16.01369863,Cluster,348,5160,5508,0.002659395,0.002250773,0.002907353
1778,20,Betweenness  Cluster,3,0.6,16.05,15.06849315,16.65753425,Cluster,348,5160,5508,0.002913943,0.002735747,0.003024244
1779,20,Betweenness  Cluster,3,0.8,16.45068493,15.8630137,16.7260274,Cluster,348,5160,5508,0.002986689,0.002879995,0.003036679
1780,20,Betweenness  Cluster,3,1,16.76712329,16.76712329,16.76712329,Cluster,348,5160,5508,0.00304414,0.00304414,0.00304414
1811,30,Betweenness  Cluster,1,0.2,83.31369863,81.53424658,84.61643836,Cluster,502,5160,5662,0.014714535,0.014400255,0.01494462
1812,30,Betweenness  Cluster,1,0.4,89.52534247,88.67123288,90,Cluster,502,5160,5662,0.015811611,0.015660762,0.015895443
1813,30,Betweenness  Cluster,1,0.6,91.01849315,90.67123288,91.34246575,Cluster,502,5160,5662,0.016075326,0.016013994,0.016132544
1814,30,Betweenness  Cluster,1,0.8,91.43835616,91.26027397,91.56164384,Cluster,502,5160,5662,0.01614948,0.016118028,0.016171255
1815,30,Betweenness  Cluster,1,1,91.76712329,91.76712329,91.76712329,Cluster,502,5160,5662,0.016207546,0.016207546,0.016207546
1816,30,Betweenness  Cluster,3,0.2,15.70410959,12.56164384,19.16438356,Cluster,502,5160,5662,0.002773598,0.002218588,0.003384737
1817,30,Betweenness  Cluster,3,0.4,21.55753425,19.5890411,22.90410959,Cluster,502,5160,5662,0.003807406,0.003459739,0.004045233
1818,30,Betweenness  Cluster,3,0.6,23.60479452,22.46575342,24.65753425,Cluster,502,5160,5662,0.004168985,0.003967812,0.004354916
1819,30,Betweenness  Cluster,3,0.8,24.49589041,23.8630137,24.94520548,Cluster,502,5160,5662,0.004326367,0.004214591,0.004405723
1820,30,Betweenness  Cluster,3,1,25.10958904,25.10958904,25.10958904,Cluster,502,5160,5662,0.004434756,0.004434756,0.004434756
1701,2,Closeness  Cluster,1,0.2,45.15616438,39.16438356,50.84931507,Cluster,52,5160,5212,0.008663884,0.007514272,0.0097562
1702,2,Closeness  Cluster,1,0.4,71.52671233,69.15068493,73.71232877,Cluster,52,5160,5212,0.013723467,0.013267591,0.014142811
1703,2,Closeness  Cluster,1,0.6,76.18356164,75.23287671,76.8630137,Cluster,52,5160,5212,0.014616953,0.01443455,0.014747317
1704,2,Closeness  Cluster,1,0.8,74.45821918,73.43835616,75.01369863,Cluster,52,5160,5212,0.014285921,0.014090245,0.014392498
1705,2,Closeness  Cluster,1,1,78.17808219,78.17808219,78.17808219,Cluster,52,5160,5212,0.014999632,0.014999632,0.014999632
1741,10,Closeness  Cluster,1,0.2,63.79246575,58.53424658,67.95890411,Cluster,146,5160,5306,0.012022704,0.011031709,0.012807935
1742,10,Closeness  Cluster,1,0.4,78.70821918,76.57534247,80.38356164,Cluster,146,5160,5306,0.014833814,0.01443184,0.015149559
1743,10,Closeness  Cluster,1,0.6,81.84657534,80.89041096,82.67123288,Cluster,146,5160,5306,0.015425287,0.015245083,0.015580707
1744,10,Closeness  Cluster,1,0.8,82.77054795,81.56164384,83.15068493,Cluster,146,5160,5306,0.015599425,0.015371588,0.015671068
1745,10,Closeness  Cluster,1,1,83.76712329,83.76712329,83.76712329,Cluster,146,5160,5306,0.015787245,0.015787245,0.015787245
1781,20,Closeness  Cluster,1,0.2,77.18013699,74.20547945,80.09589041,Cluster,348,5160,5508,0.014012371,0.013472309,0.014541738
1782,20,Closeness  Cluster,1,0.4,81.97945205,80.67123288,83.65753425,Cluster,348,5160,5508,0.014883706,0.014646193,0.015188369
1783,20,Closeness  Cluster,1,0.6,85.14109589,84.09589041,86.01369863,Cluster,348,5160,5508,0.015457715,0.015267954,0.01561614
1784,20,Closeness  Cluster,1,0.8,88.44657534,88.02739726,88.82191781,Cluster,348,5160,5508,0.016057839,0.015981735,0.016125984
1785,20,Closeness  Cluster,1,1,86.87671233,86.87671233,86.87671233,Cluster,348,5160,5508,0.015772824,0.015772824,0.015772824
1821,30,Closeness  Cluster,1,0.2,80.91712329,78.75342466,82.34246575,Cluster,502,5160,5662,0.014291262,0.013909118,0.014543
1822,30,Closeness  Cluster,1,0.4,84.60821918,83.12328767,85.45205479,Cluster,502,5160,5662,0.014943168,0.014680906,0.015092203
1823,30,Closeness  Cluster,1,0.6,87.35068493,86.84931507,87.97260274,Cluster,502,5160,5662,0.015427532,0.015338982,0.015537372
1824,30,Closeness  Cluster,1,0.8,90.62191781,90.38356164,90.80821918,Cluster,502,5160,5662,0.016005284,0.015963186,0.016038188
1825,30,Closeness  Cluster,1,1,88.67123288,88.67123288,88.67123288,Cluster,502,5160,5662,0.015660762,0.015660762,0.015660762
1706,2,Closeness  Cluster,3,0.2,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1707,2,Closeness  Cluster,3,0.4,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1708,2,Closeness  Cluster,3,0.6,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1709,2,Closeness  Cluster,3,0.8,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1710,2,Closeness  Cluster,3,1,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1746,10,Closeness  Cluster,3,0.2,5.480821918,5.01369863,5.890410959,Cluster,146,5160,5306,0.001032948,0.000944911,0.001110142
1747,10,Closeness  Cluster,3,0.4,3.749315068,3.657534247,3.780821918,Cluster,146,5160,5306,0.000706618,0.00068932,0.000712556
1748,10,Closeness  Cluster,3,0.6,3.764383562,3.726027397,3.780821918,Cluster,146,5160,5306,0.000709458,0.000702229,0.000712556
1749,10,Closeness  Cluster,3,0.8,6.084931507,6.02739726,6.123287671,Cluster,146,5160,5306,0.001146802,0.001135959,0.001154031
1750,10,Closeness  Cluster,3,1,3.780821918,3.780821918,3.780821918,Cluster,146,5160,5306,0.000712556,0.000712556,0.000712556
1786,20,Closeness  Cluster,3,0.2,11.37123288,10.09589041,12.5890411,Cluster,348,5160,5508,0.002064494,0.00183295,0.002285592
1787,20,Closeness  Cluster,3,0.4,7.392465753,7.232876712,7.520547945,Cluster,348,5160,5508,0.001342132,0.001313158,0.001365386
1788,20,Closeness  Cluster,3,0.6,7.488356164,7.356164384,7.534246575,Cluster,348,5160,5508,0.001359542,0.001335542,0.001367873
1789,20,Closeness  Cluster,3,0.8,14.05821918,13.61643836,14.15068493,Cluster,348,5160,5508,0.002552327,0.00247212,0.002569115
1790,20,Closeness  Cluster,3,1,7.534246575,7.534246575,7.534246575,Cluster,348,5160,5508,0.001367873,0.001367873,0.001367873
1826,30,Closeness  Cluster,3,0.2,14.03013699,12.67123288,14.90410959,Cluster,502,5160,5662,0.002477947,0.002237943,0.002632305
1827,30,Closeness  Cluster,3,0.4,10.45342466,10.28767123,10.57534247,Cluster,502,5160,5662,0.001846242,0.001816968,0.001867775
1828,30,Closeness  Cluster,3,0.6,10.55068493,10.47945205,10.60273973,Cluster,502,5160,5662,0.00186342,0.001850839,0.001872614
1829,30,Closeness  Cluster,3,0.8,16.29726027,16.19178082,16.36986301,Cluster,502,5160,5662,0.002878358,0.002859728,0.00289118
1830,30,Closeness  Cluster,3,1,10.61643836,10.61643836,10.61643836,Cluster,502,5160,5662,0.001875033,0.001875033,0.001875033
101,2,Conservation,1,0.2,41.09452055,27.94520548,55.49315068,Conventional,52,,52,0.790279241,0.537407798,1.067175975
102,2,Conservation,1,0.4,66.32260274,58.91780822,70.35616438,Conventional,52,,52,1.275434668,1.133034773,1.353003161
103,2,Conservation,1,0.6,72.01232877,69.36986301,73.67123288,Conventional,52,,52,1.384852476,1.334035827,1.416754478
104,2,Conservation,1,0.8,73.77808219,72.56164384,74.5890411,Conventional,52,,52,1.418809273,1.395416228,1.434404637
105,2,Conservation,1,1,74.80821918,74.80821918,74.80821918,Conventional,52,,52,1.4386196,1.4386196,1.4386196
106,2,Conservation,3,0.2,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
107,2,Conservation,3,0.4,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
108,2,Conservation,3,0.6,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
109,2,Conservation,3,0.8,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
110,2,Conservation,3,1,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
221,10,Conservation,1,0.2,62.76164384,55.82191781,68.79452055,Conventional,146,,146,0.429874273,0.382341903,0.471195346
222,10,Conservation,1,0.4,77.28356164,75.10958904,79.91780822,Conventional,146,,146,0.529339463,0.51444924,0.547382248
223,10,Conservation,1,0.6,81.2869863,79.06849315,82.16438356,Conventional,146,,146,0.55676018,0.541565022,0.56276975
224,10,Conservation,1,0.8,82.33356164,81.52054795,82.76712329,Conventional,146,,146,0.563928504,0.558359917,0.566898105
225,10,Conservation,1,1,83.19178082,83.19178082,83.19178082,Conventional,146,,146,0.569806718,0.569806718,0.569806718
226,10,Conservation,3,0.2,3.095890411,2.849315068,3.273972603,Conventional,146,,146,0.021204729,0.019515857,0.02242447
227,10,Conservation,3,0.4,3.204109589,3.068493151,3.273972603,Conventional,146,,146,0.021945956,0.021017076,0.02242447
228,10,Conservation,3,0.6,3.248630137,3.178082192,3.273972603,Conventional,146,,146,0.022250891,0.021767686,0.02242447
229,10,Conservation,3,0.8,3.25890411,3.205479452,3.273972603,Conventional,146,,146,0.022321261,0.021955339,0.02242447
230,10,Conservation,3,1,3.273972603,3.273972603,3.273972603,Conventional,146,,146,0.02242447,0.02242447,0.02242447
341,20,Conservation,1,0.2,71.45068493,68.20547945,74.67123288,Conventional,348,,348,0.20531806,0.195992757,0.214572508
342,20,Conservation,1,0.4,82.34452055,80.82191781,83.68493151,Conventional,348,,348,0.236622185,0.23224689,0.240473941
343,20,Conservation,1,0.6,85.09657534,84.5890411,85.47945205,Conventional,348,,348,0.244530389,0.243071957,0.245630609
344,20,Conservation,1,0.8,85.84657534,85.35616438,86.30136986,Conventional,348,,348,0.246685561,0.245276334,0.247992442
345,20,Conservation,1,1,86.52054795,86.52054795,86.52054795,Conventional,348,,348,0.248622264,0.248622264,0.248622264
346,20,Conservation,3,0.2,6.938356164,6.602739726,7.191780822,Conventional,348,,348,0.019937805,0.01897339,0.020666037
347,20,Conservation,3,0.4,7.456164384,7.109589041,7.726027397,Conventional,348,,348,0.02142576,0.020429854,0.022201228
348,20,Conservation,3,0.6,7.663013699,7.506849315,7.739726027,Conventional,348,,348,0.022020154,0.021571406,0.022240592
349,20,Conservation,3,0.8,7.72260274,7.561643836,7.767123288,Conventional,348,,348,0.022191387,0.021728862,0.02231932
350,20,Conservation,3,1,7.767123288,7.767123288,7.767123288,Conventional,348,,348,0.02231932,0.02231932,0.02231932
461,30,Conservation,1,0.2,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
462,30,Conservation,1,0.4,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
463,30,Conservation,1,0.6,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
464,30,Conservation,1,0.8,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
465,30,Conservation,1,1,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
466,30,Conservation,3,0.2,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
467,30,Conservation,3,0.4,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
468,30,Conservation,3,0.6,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
469,30,Conservation,3,0.8,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
470,30,Conservation,3,1,-0.410958904,-0.410958904,-0.410958904,Conventional,502,,502,-0.000818643,-0.000818643,-0.000818643
1711,2,Eigenvector Cluster,1,0.2,43.54931507,38.2739726,51.06849315,Cluster,52,5160,5212,0.008355586,0.007343433,0.009798253
1712,2,Eigenvector Cluster,1,0.4,65.0390411,62.98630137,67.75342466,Cluster,52,5160,5212,0.012478711,0.012084862,0.012999506
1713,2,Eigenvector Cluster,1,0.6,70.31027397,69.01369863,70.95890411,Cluster,52,5160,5212,0.013490076,0.013241308,0.013614525
1714,2,Eigenvector Cluster,1,0.8,71.27945205,70.30136986,71.89041096,Cluster,52,5160,5212,0.013676027,0.013488367,0.013793248
1715,2,Eigenvector Cluster,1,1,72.15068493,72.15068493,72.15068493,Cluster,52,5160,5212,0.013843186,0.013843186,0.013843186
1716,2,Eigenvector Cluster,3,0.2,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1717,2,Eigenvector Cluster,3,0.4,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1718,2,Eigenvector Cluster,3,0.6,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1719,2,Eigenvector Cluster,3,0.8,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1720,2,Eigenvector Cluster,3,1,0.547945205,0.547945205,0.547945205,Cluster,52,5160,5212,0.000105131,0.000105131,0.000105131
1751,10,Eigenvector Cluster,1,0.2,65.15205479,60.17808219,69.50684932,Cluster,146,5160,5306,0.01227894,0.011341516,0.01309967
1752,10,Eigenvector Cluster,1,0.4,78.59109589,77.21917808,79.69863014,Cluster,146,5160,5306,0.014811741,0.014553181,0.015020473
1753,10,Eigenvector Cluster,1,0.6,81.87808219,81.57534247,82.4109589,Cluster,146,5160,5306,0.015431225,0.015374169,0.015531655
1754,10,Eigenvector Cluster,1,0.8,82.63219178,82.19178082,82.93150685,Cluster,146,5160,5306,0.015573349,0.015490347,0.01562976
1755,10,Eigenvector Cluster,1,1,83.19178082,83.19178082,83.19178082,Cluster,146,5160,5306,0.015678813,0.015678813,0.015678813
1756,10,Eigenvector Cluster,3,0.2,5.455479452,5,5.794520548,Cluster,146,5160,5306,0.001028172,0.000942329,0.001092069
1757,10,Eigenvector Cluster,3,0.4,5.871917808,5.315068493,6.150684932,Cluster,146,5160,5306,0.001106656,0.001001709,0.001159194
1758,10,Eigenvector Cluster,3,0.6,6.076027397,5.931506849,6.136986301,Cluster,146,5160,5306,0.001145124,0.001117887,0.001156613
1759,10,Eigenvector Cluster,3,0.8,6.120547945,6,6.164383562,Cluster,146,5160,5306,0.001153515,0.001130795,0.001161776
1760,10,Eigenvector Cluster,3,1,6.164383562,6.164383562,6.164383562,Cluster,146,5160,5306,0.001161776,0.001161776,0.001161776
1791,20,Eigenvector Cluster,1,0.2,67.06986301,64.89041096,70.90410959,Cluster,348,5160,5508,0.012176809,0.01178112,0.012872932
1792,20,Eigenvector Cluster,1,0.4,79.07671233,77.43835616,80.68493151,Cluster,348,5160,5508,0.014356702,0.014059251,0.01464868
1793,20,Eigenvector Cluster,1,0.6,82.2130137,81.68493151,82.75342466,Cluster,348,5160,5508,0.01492611,0.014830234,0.015024224
1794,20,Eigenvector Cluster,1,0.8,82.99315068,82.65753425,83.24657534,Cluster,348,5160,5508,0.015067747,0.015006814,0.015113757
1795,20,Eigenvector Cluster,1,1,83.49315068,83.49315068,83.49315068,Cluster,348,5160,5508,0.015158524,0.015158524,0.015158524
1796,20,Eigenvector Cluster,3,0.2,11.69589041,10.78082192,13.24657534,Cluster,348,5160,5508,0.002123437,0.001957302,0.00240497
1797,20,Eigenvector Cluster,3,0.4,13.95753425,13.1369863,14.60273973,Cluster,348,5160,5508,0.002534048,0.002385074,0.002651187
1798,20,Eigenvector Cluster,3,0.6,14.88219178,14.39726027,15.10958904,Cluster,348,5160,5508,0.002701923,0.002613882,0.002743208
1799,20,Eigenvector Cluster,3,0.8,15.07876712,14.68493151,15.24657534,Cluster,348,5160,5508,0.002737612,0.00266611,0.002768078
1800,20,Eigenvector Cluster,3,1,15.32876712,15.32876712,15.32876712,Cluster,348,5160,5508,0.002783001,0.002783001,0.002783001
1831,30,Eigenvector Cluster,1,0.2,69.75684932,65.1369863,72.68493151,Cluster,502,5160,5662,0.012320178,0.011504236,0.012837325
1832,30,Eigenvector Cluster,1,0.4,80.45753425,79.50684932,81.52054795,Cluster,502,5160,5662,0.014210091,0.014042185,0.014397836
1833,30,Eigenvector Cluster,1,0.6,83.23013699,82.5890411,83.71232877,Cluster,502,5160,5662,0.014699777,0.014586549,0.01478494
1834,30,Eigenvector Cluster,1,0.8,83.88013699,83.54794521,84.16438356,Cluster,502,5160,5662,0.014814577,0.014755907,0.01486478
1835,30,Eigenvector Cluster,1,1,84.36986301,84.36986301,84.36986301,Cluster,502,5160,5662,0.014901071,0.014901071,0.014901071
1836,30,Eigenvector Cluster,3,0.2,17.74657534,17.06849315,18.82191781,Cluster,502,5160,5662,0.00313433,0.00301457,0.003324253
1837,30,Eigenvector Cluster,3,0.4,20.27945205,19.94520548,20.65753425,Cluster,502,5160,5662,0.003581676,0.003522643,0.003648452
1838,30,Eigenvector Cluster,3,0.6,20.94315068,20.57534247,21.28767123,Cluster,502,5160,5662,0.003698896,0.003633935,0.003759744
1839,30,Eigenvector Cluster,3,0.8,21.28493151,21.17808219,21.45205479,Cluster,502,5160,5662,0.00375926,0.003740389,0.003788777
1840,30,Eigenvector Cluster,3,1,21.45205479,21.45205479,21.45205479,Cluster,502,5160,5662,0.003788777,0.003788777,0.003788777
91,2,Event,1,0.2,51.28150685,45.26027397,57.01369863,Conventional,52,,52,0.986182824,0.870389884,1.096417281
92,2,Event,1,0.4,69.26164384,66.21917808,72.06849315,Conventional,52,,52,1.331954689,1.273445732,1.385932561
93,2,Event,1,0.6,74.0760274,72.87671233,75.09589041,Conventional,52,,52,1.424538988,1.401475237,1.444151739
94,2,Event,1,0.8,75.23835616,74.17808219,75.90410959,Conventional,52,,52,1.446891465,1.426501581,1.459694415
95,2,Event,1,1,76.21917808,76.21917808,76.21917808,Conventional,52,,52,1.465753425,1.465753425,1.465753425
96,2,Event,3,0.2,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
97,2,Event,3,0.4,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
98,2,Event,3,0.6,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
99,2,Event,3,0.8,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
100,2,Event,3,1,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
211,10,Event,1,0.2,67.57465753,62.95890411,70.26027397,Conventional,146,,146,0.46284012,0.431225371,0.481234753
212,10,Event,1,0.4,80.67739726,79.34246575,81.79452055,Conventional,146,,146,0.552584913,0.543441546,0.560236442
213,10,Event,1,0.6,83.65205479,83.26027397,84.16438356,Conventional,146,,146,0.572959279,0.570275849,0.576468381
214,10,Event,1,0.8,84.23150685,83.78082192,84.65753425,Conventional,146,,146,0.576928129,0.573841246,0.579846125
215,10,Event,1,1,84.82191781,84.82191781,84.82191781,Conventional,146,,146,0.58097204,0.58097204,0.58097204
216,10,Event,3,0.2,4.05890411,3.301369863,4.726027397,Conventional,146,,146,0.027800713,0.022612122,0.032370051
217,10,Event,3,0.4,4.734931507,4.424657534,4.95890411,Conventional,146,,146,0.032431038,0.030305874,0.033965097
218,10,Event,3,0.6,4.821232877,4.493150685,4.945205479,Conventional,146,,146,0.033022143,0.030775005,0.03387127
219,10,Event,3,0.8,4.936986301,4.890410959,4.95890411,Conventional,146,,146,0.033814975,0.033495965,0.033965097
220,10,Event,3,1,4.95890411,4.95890411,4.95890411,Conventional,146,,146,0.033965097,0.033965097,0.033965097
331,20,Event,1,0.2,76.48972603,74.61643836,79.10958904,Conventional,348,,348,0.219798063,0.214415053,0.227326405
332,20,Event,1,0.4,85.79246575,85.04109589,86.56164384,Conventional,348,,348,0.246530074,0.244370965,0.248740356
333,20,Event,1,0.6,87.84589041,87.46575342,88.08219178,Conventional,348,,348,0.25243072,0.251338372,0.253109746
334,20,Event,1,0.8,88.29315068,87.91780822,88.43835616,Conventional,348,,348,0.25371595,0.25263738,0.254133207
335,20,Event,1,1,88.67123288,88.67123288,88.67123288,Conventional,348,,348,0.254802393,0.254802393,0.254802393
336,20,Event,3,0.2,7.187671233,6.753424658,7.438356164,Conventional,348,,348,0.020654228,0.019406393,0.021374587
337,20,Event,3,0.4,7.44109589,7.273972603,7.520547945,Conventional,348,,348,0.021382459,0.02090222,0.02161077
338,20,Event,3,0.6,7.546575342,7.383561644,7.630136986,Conventional,348,,348,0.021685561,0.021217131,0.021925681
339,20,Event,3,0.8,7.614383562,7.520547945,7.630136986,Conventional,348,,348,0.021880413,0.02161077,0.021925681
340,20,Event,3,1,7.630136986,7.630136986,7.630136986,Conventional,348,,348,0.021925681,0.021925681,0.021925681
451,30,Event,1,0.2,78.02808219,73.56164384,80.38356164,Conventional,502,,502,0.155434427,0.146537139,0.160126617
452,30,Event,1,0.4,87.14109589,86.23287671,87.83561644,Conventional,502,,502,0.17358784,0.171778639,0.174971347
453,30,Event,1,0.6,89.05753425,88.17808219,89.54794521,Conventional,502,,502,0.177405447,0.17565355,0.178382361
454,30,Event,1,0.8,89.72328767,89.45205479,89.93150685,Conventional,502,,502,0.178731649,0.178191344,0.179146428
455,30,Event,1,1,90.20547945,90.20547945,90.20547945,Conventional,502,,502,0.17969219,0.17969219,0.17969219
456,30,Event,3,0.2,13.27328767,12.08219178,14.60273973,Conventional,502,,502,0.026440812,0.024068111,0.029089123
457,30,Event,3,0.4,14.6609589,14.06849315,15.06849315,Conventional,502,,502,0.029205097,0.028024887,0.030016919
458,30,Event,3,0.6,15.05616438,14.73972603,15.34246575,Conventional,502,,502,0.029992359,0.029362004,0.030562681
459,30,Event,3,0.8,15.29246575,15.17808219,15.39726027,Conventional,502,,502,0.030463079,0.030235223,0.030671833
460,30,Event,3,1,15.4109589,15.4109589,15.4109589,Conventional,502,,502,0.030699121,0.030699121,0.030699121
81,2,Gatekeeper,1,0.2,57.50547945,51.17808219,63.20547945,Conventional,52,,52,1.105874605,0.984193888,1.215489989
82,2,Gatekeeper,1,0.4,74.20684932,70.16438356,77.36986301,Conventional,52,,52,1.427054795,1.349315068,1.487881981
83,2,Gatekeeper,1,0.6,78.03493151,77.01369863,79.08219178,Conventional,52,,52,1.50067176,1.481032666,1.52081138
84,2,Gatekeeper,1,0.8,79.12123288,78.39726027,79.50684932,Conventional,52,,52,1.521562171,1.507639621,1.528977872
85,2,Gatekeeper,1,1,80.04109589,80.04109589,80.04109589,Conventional,52,,52,1.539251844,1.539251844,1.539251844
86,2,Gatekeeper,3,0.2,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
87,2,Gatekeeper,3,0.4,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
88,2,Gatekeeper,3,0.6,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
89,2,Gatekeeper,3,0.8,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
90,2,Gatekeeper,3,1,0.547945205,0.547945205,0.547945205,Conventional,52,,52,0.010537408,0.010537408,0.010537408
